tconst	averageRating	numVotes
tt12915716	2.7	134087
tt1073498	2.8	112233
tt0799949	2.4	110255
tt0185183	2.5	83806
tt1098327	2.5	80161
tt0466342	2.8	62599
tt2574698	2.7	60476
tt0362165	2.3	59996
tt10350922	2.5	59007
tt5697572	2.8	56606
tt7668842	2.0	56183
tt0299930	2.6	51149
tt4435072	2.6	47682
tt0369226	2.4	47329
tt1725047	2.7	43593
tt1754700	2.3	42726
tt0329200	2.6	39945
tt0804492	2.0	39289
tt0317676	2.1	38869
tt1086761	2.9	31684
tt19623240	2.9	30986
tt0118665	2.6	27807
tt11873440	2.3	27695
tt12996154	2.7	25150
tt0118589	2.4	24180
tt6910020	2.4	23131
tt5013984	2.6	23071
tt7255568	2.2	22849
tt1883367	2.7	20398
tt9820556	2.9	20193
tt17444636	2.2	18999
tt0193524	2.2	17233
tt19857862	2.0	16363
tt9096108	2.8	15782
tt0785077	2.3	15628
tt11762434	2.5	15337
tt14121726	2.5	15143
tt1572311	2.7	14586
tt8366590	2.2	14121
tt4867110	2.8	12858
tt0058548	2.7	12748
tt0089280	2.2	12567
tt1127884	2.7	12203
tt0896036	2.7	11673
tt1350498	2.5	11358
tt9624766	2.9	10650
tt21106646	2.8	10576
tt0101615	2.9	10561
tt0110169	2.8	10561
tt0116839	2.6	10414
tt13334578	2.8	10349
tt1716747	2.7	10145
tt10885444	2.5	10130
tt0123366	2.5	9961
tt0117550	2.6	9676
tt0473024	2.2	9490
tt1294969	2.9	9386
tt1595842	2.1	9093
tt6609088	2.8	9053
tt0116165	2.8	8996
tt0093072	2.7	8869
tt1137996	2.8	8791
tt0093405	2.2	8725
tt7576210	2.6	8352
tt1009017	2.7	7676
tt2288050	2.5	7537
tt2043757	2.5	7515
tt0096149	2.1	7454
tt0168172	2.6	7205
tt1498870	2.6	6986
tt11348232	2.6	6939
tt4547120	2.2	6847
tt0077834	2.8	6807
tt0367677	2.1	6637
tt0118836	2.3	6543
tt1846444	2.2	6395
tt0343788	2.0	6345
tt6148376	2.8	6265
tt0433349	2.3	6201
tt1540767	2.5	6192
tt0055946	2.3	6184
